overall_rank,country_name,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,country_id,judical_effectiveness,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corporate_tax_rate,population_millions
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,57,81.2,89.4,50.3,84.8,86.0,85.0,80.0,20.0,5.5
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,45,77.8,90.7,86.4,84.1,86.0,90.0,80.0,23.5,5.7
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,124,81.2,89.4,53.7,75.4,83.2,75.0,60.0,23.0,5.3
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,73,63.8,88.4,64.1,81.7,87.0,85.0,70.0,20.0,0.3
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,119,74.7,81.4,60.3,84.0,86.0,90.0,80.0,25.0,17.1
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,158,82.0,75.4,72.5,85.2,87.4,85.0,90.0,24.0,8.4
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,157,84.0,88.0,53.9,82.0,86.0,85.0,80.0,22.0,10.1
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,120,83.5,91.0,86.7,87.5,92.4,80.0,80.0,28.0,4.8
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,29,69.4,81.9,73.7,77.2,86.8,80.0,80.0,15.0,36.7
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,8,71.3,74.9,68.7,81.5,86.0,90.0,70.0,25.0,8.8
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,7,86.5,88.3,84.1,86.6,87.6,80.0,90.0,30.0,24.8
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,39,54.0,67.2,55.2,83.2,81.4,70.0,50.0,30.0,5.0
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,79,73.4,71.4,65.1,86.2,84.4,75.0,70.0,23.0,8.7
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,99,72.4,68.8,45.9,82.6,86.0,95.0,80.0,18.0,0.6
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,174,85.9,92.9,73.5,81.2,86.0,90.0,80.0,20.0,66.1
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,78,68.4,83.1,75.3,87.0,86.0,90.0,70.0,12.5,4.7
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,62,75.4,83.3,52.8,77.9,86.0,80.0,70.0,15.8,82.7
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,15,61.6,78.1,61.0,76.1,86.0,85.0,70.0,29.0,11.4
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,175,78.6,83.8,89.4,76.6,86.6,85.0,80.0,21.0,325.9
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,44,47.6,72.4,78.1,81.5,86.0,80.0,80.0,19.0,10.6
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,173,87.1,79.9,81.1,80.9,84.4,40.0,60.0,0.0,10.1
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,107,50.4,67.1,61.3,78.2,86.0,85.0,60.0,35.0,0.5
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,110,34.9,67.8,58.6,75.9,81.4,75.0,60.0,30.0,123.5
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,58,66.1,81.2,45.2,79.1,81.0,75.0,70.0,33.0,64.8
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,33,56.3,76.6,65.0,84.5,88.8,85.0,70.0,25.0,18.4
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,65,32.3,53.6,48.7,77.0,82.2,70.0,50.0,31.0,16.9
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,142,62.7,72.3,63.3,78.1,76.0,45.0,50.0,2.5,32.4
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,134,60.0,71.2,65.9,78.4,83.2,60.0,60.0,0.0,2.7
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,152,51.4,66.8,57.8,87.5,86.0,85.0,70.0,25.0,46.3
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,127,30.1,73.6,43.4,79.4,79.2,75.0,70.0,25.0,4.1
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22,51.7,57.9,51.9,75.5,69.0,50.0,50.0,34.0,207.7
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,176,58.9,74.3,71.9,72.9,78.6,85.0,30.0,25.0,3.5
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,147,92.4,90.8,91.0,85.3,94.8,85.0,80.0,17.0,5.6
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,51,29.1,57.2,53.1,79.0,81.4,75.0,60.0,30.0,6.4
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,80,49.8,71.7,51.1,84.0,86.0,85.0,50.0,27.5,60.6
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,11,50.7,71.4,71.1,81.6,83.8,75.0,80.0,0.0,1.5
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,148,37.2,61.3,53.4,78.6,86.0,75.0,70.0,21.0,5.4
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,132,44.0,65.4,63.9,82.1,86.0,80.0,70.0,19.0,38.0
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,177,34.3,72.5,58.7,58.9,62.6,10.0,10.0,7.5,32.1
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,98,61.2,75.2,63.6,84.6,86.0,80.0,70.0,15.0,2.8
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,35,34.3,71.4,78.5,75.6,76.0,80.0,70.0,33.0,49.3
